Class,H_len,H_upp_len,H_dot,H_com,H_lt,CC_exists,S_len,S_upp_len,S_emoji_has,S_lit_has,S_percent_has,S_dollar_has,S_euro_has,S_excl_has,S_dot_has,S_bold_has,S_quote_count,S_dot_count,S_dash_count,S_excl_count,Time_minutes_past,B_len,B_upp_len,B_emoji_has,B_lit_has,B_percent_has,B_dollar_has,B_euro_has,B_excl_has,B_dot_has,B_bold_has,B_quote_count,B_dot_count,B_dash_count,B_excl_count,B_subscribe_has,B_https_has,B_html_has,B_tag_len
1,34,0.35,1,0,1,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,15.27,88934,0,0,1,1,0,0,1,1,0,4.51,0.29,2.46,0.47,1,1,1,1.9
1,40,0.05,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,5.82,12561,0,0,0,1,0,0,1,1,0,2.64,0.58,1.31,0.15,1,1,1,2.38
1,32,0.03,0,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,26.33,198373,0,0,0,1,0,1,1,1,0,1.23,0.31,2.5,0.21,1,1,1,0.62
1,26,0.08,0,0,1,0,48,0,1,1,0,0,0,1,0,0,0,0,0,1,12.43,29682,0,1,1,1,0,0,1,1,0,2.98,0.72,2.96,0.16,0,1,1,1.29
1,44,0.07,0,1,0,0,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0.53,22880,0,0,0,1,0,0,1,1,0,2.64,0.85,2.54,0.28,1,1,1,1.12
1,35,0.03,0,1,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,4.73,43645,0,0,0,1,0,1,1,1,0,1.13,0.27,2.9,0.66,0,1,0,0.97
1,40,0.05,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,26.18,10631,0,0,0,1,1,0,1,1,0,1.96,0.55,1.62,0.2,1,1,1,2.01
1,32,0.03,0,1,0,0,38,0,0,0,0,0,0,0,1,0,0,2,0,0,13.78,111210,0,0,0,1,0,1,1,1,0,1.16,0.31,2.3,0.3,1,1,1,0.65
1,17,0.18,0,0,1,0,32,0,0,1,0,0,0,1,0,0,0,0,0,1,29.67,69832,0,0,1,1,0,0,1,1,0,4.25,0.36,1.31,0.38,1,1,0,1.49
1,44,0.07,0,1,0,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1.1,23666,0,0,0,1,0,0,1,1,0,2.54,0.82,2.31,0.24,1,1,1,1.04
1,38,0.03,0,0,1,0,46,0,1,1,0,0,0,1,0,0,0,0,0,1,29.65,107121,0,1,1,1,0,1,1,1,0,4.55,0.28,2.77,0.47,1,1,1,2.15
1,49,0.06,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,78226,0,1,0,1,0,0,1,1,0,2.12,0.37,4.14,0.26,1,1,0,1.12
1,40,0.05,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77,11753,0,0,0,1,1,0,1,1,0,2.38,0.63,1.49,0.2,1,1,1,2.21
1,40,0.05,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,19.47,9750,0,0,0,1,0,0,1,1,0,1.83,0.79,1.11,0.19,1,1,1,1.81
1,32,0.03,0,1,0,0,45,0,0,0,0,0,1,0,1,0,0,1,0,0,19.52,195504,0,0,0,1,0,1,1,1,0,1.25,0.31,2.13,0.22,1,1,1,0.63
1,31,0.03,0,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,29.47,69573,0,1,0,1,0,0,1,1,0,3.94,0.4,2.38,0.36,1,1,1,2.04
1,40,0.05,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,14.55,16534,0,1,0,1,0,0,1,1,0,1.39,0.65,1.08,0.09,1,1,1,1.37
1,32,0.03,0,1,0,0,36,0,0,0,0,0,0,0,1,0,0,2,0,0,10.52,197044,0,0,0,1,0,1,1,1,0,1.24,0.31,2.33,0.22,1,1,1,0.63
1,38,0.03,0,0,1,0,54,0,1,1,0,0,0,1,0,0,0,0,1,1,28.57,107129,0,1,1,1,0,1,1,1,0,4.55,0.28,2.77,0.47,1,1,1,2.15
1,35,0.03,0,1,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,4.77,49377,0,0,0,1,0,1,1,1,0,1.77,0.16,1.98,0.18,0,1,1,0.66
1,40,0.05,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,16.32,16051,0,0,0,1,1,0,1,1,0,1.62,0.62,1.48,0.12,1,1,1,1.81
1,32,0.03,0,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05,197919,0,0,0,1,0,1,1,1,0,1.23,0.31,2.41,0.21,1,1,1,0.62
1,40,0.05,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,20.95,11228,0,0,0,1,0,0,1,1,0,1.64,0.76,1.15,0.2,1,1,1,1.51
