Class,H_len,H_upp_len,H_dot,H_com,H_lt,CC_exists,S_len,S_upp_len,S_emoji_has,S_lit_has,S_percent_has,S_dollar_has,S_euro_has,S_excl_has,S_dot_has,S_bold_has,S_quote_count,S_dot_count,S_dash_count,S_excl_count,Time_minutes_past,B_len,B_upp_len,B_emoji_has,B_lit_has,B_percent_has,B_dollar_has,B_euro_has,B_excl_has,B_dot_has,B_bold_has,B_quote_count,B_dot_count,B_dash_count,B_excl_count,B_subscribe_has,B_https_has,B_html_has,B_tag_len
0,48,0.1,0,1,0,0,18,0,1,0,0,0,0,1,0,0,0,0,0,1,9.5,75383,0,1,0,1,0,0,1,1,0,3.01,0.26,2.33,0.23,1,1,0,1.66
0,37,0.03,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,29.12,5464,0,0,0,1,0,0,1,1,0,2.71,1.1,1.63,0.02,0,1,1,1.5
0,39,0.05,0,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,9.57,343074,0,1,1,1,1,0,1,1,0,0.84,0.66,0.8,0.66,0,1,0,0.82
0,42,0.14,0,0,1,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,28.28,10915,0,1,1,1,1,0,1,1,0,0.42,0.17,2.6,0.86,0,0,1,0.6
0,17,0.0,0,0,0,0,28,0,0,0,0,0,0,1,0,0,0,0,0,1,0.32,5081,0,0,0,1,0,0,1,1,0,1.85,1.1,1.36,0.04,0,1,1,1.63
0,31,0.13,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3088,0,0,0,0,0,0,1,1,0,0.71,1.59,0.81,0.06,0,1,0,0.97
0,35,0.09,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,1,0,0,0.85,17101,0,0,0,1,0,0,1,1,0,2.62,0.58,1.9,0.3,0,1,1,1.13
0,19,0.0,0,1,0,0,104,0,0,0,0,0,0,0,1,0,0,2,1,0,6.72,34096,0,0,0,1,0,0,1,1,0,2.28,0.71,2.43,0.31,1,1,0,1.27
0,19,0.0,0,1,0,0,136,0,0,0,0,0,0,0,1,0,0,2,2,0,4.63,37726,0,0,0,1,0,0,1,1,0,2.21,0.68,2.36,0.28,1,1,0,1.27
0,19,0.0,0,1,0,0,108,0,0,0,0,0,0,0,1,0,0,2,1,0,2.85,34106,0,0,0,1,0,0,1,1,0,2.28,0.71,2.43,0.31,1,1,0,1.27
0,48,0.04,0,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63,15287,0,0,1,1,0,0,1,1,0,2.33,0.73,2.09,0.05,0,1,0,1.89
0,19,0.0,0,1,0,0,106,0,0,0,0,0,0,0,1,0,0,2,1,0,13.1,33926,0,0,0,1,0,0,1,1,0,2.29,0.71,2.44,0.31,1,1,0,1.28
0,39,0.05,0,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,25.87,9608,0,0,0,1,0,0,1,1,0,2.89,0.49,1.79,0.02,0,1,0,3.39
0,19,0.0,0,1,0,0,98,0,0,0,0,0,0,0,1,0,0,2,1,0,11.58,34081,0,0,0,1,0,0,1,1,0,2.28,0.71,2.43,0.31,1,1,0,1.27
0,29,0.03,0,0,1,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,26.68,2715,0,0,1,0,0,0,1,1,0,1.92,1.29,1.25,0.18,0,1,1,1.62
0,46,0.04,0,1,0,0,32,0,0,1,0,0,0,0,0,0,0,0,0,0,13.7,71355,0,0,1,1,0,0,1,1,0,1.57,0.49,3.3,0.11,0,1,1,1.15
0,29,0.03,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,22.65,2742,0,0,1,0,0,0,1,1,0,1.9,1.13,1.39,0.11,0,1,1,2.01
0,29,0.03,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,22.65,2742,0,0,1,0,0,0,1,1,0,1.9,1.13,1.39,0.11,0,1,1,2.01
0,46,0.04,0,1,0,0,31,0,0,1,0,0,0,0,0,0,0,0,1,0,12.2,74429,0,0,1,1,0,1,1,1,0,1.61,0.49,3.13,0.11,0,1,1,1.1
0,48,0.1,0,1,0,0,25,0,1,0,0,0,0,1,0,0,0,0,0,1,22.1,68687,0,1,0,1,0,0,1,1,0,2.83,0.25,2.27,0.23,1,1,0,1.6
0,39,0.03,0,0,0,0,40,0,1,0,0,0,0,0,1,0,0,3,0,0,29.53,26158,0,1,0,1,0,0,1,1,0,2.0,0.42,1.69,0.19,1,1,0,1.4
0,55,0.07,0,1,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,27.73,149800,0,1,0,1,0,0,1,1,0,1.47,0.45,4.19,0.04,1,1,0,0.62
0,43,0.05,0,0,0,0,33,0,0,0,0,0,0,1,0,0,0,0,0,1,5.93,51715,0,0,0,1,0,1,1,1,0,3.69,0.53,3.04,0.38,0,1,0,1.85
0,55,0.07,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,26.23,24819,0,0,0,1,1,0,1,1,0,3.83,0.6,1.49,0.31,1,1,1,1.85
0,48,0.1,0,1,0,0,41,0,1,0,0,0,0,0,0,0,0,0,0,0,8.15,58564,0,1,0,1,0,0,1,1,0,2.64,0.28,2.26,0.23,1,1,0,1.52
0,30,0.03,0,1,0,0,30,0,0,0,0,0,0,0,1,0,0,1,0,0,13.03,143794,0,1,0,1,0,0,1,1,0,1.24,0.32,1.19,0.29,1,1,1,0.65
0,55,0.07,0,1,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77,149690,0,1,0,1,0,0,1,1,0,1.47,0.45,4.2,0.04,1,1,0,0.62
0,50,0.04,0,1,0,0,61,0,0,0,0,0,0,0,0,0,0,0,1,0,15.1,81130,0,0,0,1,0,0,1,1,0,1.38,0.33,2.84,0.06,1,1,1,0.6
0,35,0.09,0,0,0,0,35,0,0,0,0,0,0,0,1,0,0,1,0,0,29.67,17113,0,0,0,1,0,0,1,1,0,2.62,0.58,1.93,0.3,0,1,1,1.13
